,0
0,-0.0127038695
1,0.006296897
2,-0.0017827735
3,-0.0075853677
4,-0.018249793
5,-0.00853414
6,-0.009883025
7,-0.00751005
8,0.0018459117
9,-0.0016217554
10,-0.0011229326
11,-0.01174651
12,-0.0039026453
13,-0.0362871
14,-0.012399003
15,-0.0009832071
16,-0.01426731
17,0.014547237
18,-0.018682398
19,0.008726649
20,-0.005344803
21,-0.0122543685
22,-0.014173232
23,-0.010841412
24,-0.002766784
25,-0.0012622185
26,-0.012766994
27,-0.013320654
28,0.0025850628
29,0.0049977866
30,-0.0051808567
31,-0.022078637
32,-0.0059576104
33,-0.011676288
34,0.00052707375
35,-0.004731607
36,-0.007909771
37,-0.011628889
38,0.0020989284
39,-0.0011547861
40,0.005083863
41,-0.013200447
42,0.008909421
43,0.012277107
44,-0.015210129
45,-0.0055577774
46,-0.040030636
47,-0.005643719
48,0.0115851
49,-0.008072505
50,0.0067373603
51,-0.0029955944
52,-0.009889211
53,0.00468308
54,-0.008471237
55,-0.021628406
56,0.003253276
57,-0.0022153712
58,0.008358502
59,-0.0021499812
60,0.00078643335
61,-0.012743207
62,-9.543943e-05
63,-0.01476016
64,-0.0058162226
65,-0.009636557
66,-0.024007155
67,-0.013092719
68,-0.012450781
69,-3.9597402e-05
70,0.004539246
71,-0.010627672
72,-0.008053021
73,0.00010095538
74,-0.00512566
75,-0.008814384
76,-0.014250912
77,-0.0117151765
78,-0.014835069
79,-0.0036599378
80,0.0050756657
81,-0.0010195165
82,-0.024077298
83,-0.00868516
84,-0.024203122
85,-0.012004534
86,0.0
87,-0.010641728
88,-4.9694794e-08
89,0.00085212686
90,0.0037327483
91,-0.0001306873
92,0.004019396
93,-0.005157346
94,-0.015052427
95,0.010934897
96,0.0054461015
97,0.0060591446
98,-0.009701642
99,0.01050325
