,0
0,-0.0076617063
1,-0.00022787417
2,-0.013882065
3,-0.035971068
4,3.1430558e-05
5,-0.031224323
6,-0.0030930147
7,0.0018454576
8,0.005705855
9,-7.92139e-05
10,-0.0014233604
11,0.0029335353
12,-0.025192143
13,-0.0003150013
14,0.008944088
15,0.001592947
16,-0.010478225
17,-0.0026011972
18,-0.022892678
19,-0.00805706
20,-0.026501976
21,0.0035732577
22,-0.0014007491
23,-0.008966866
24,0.0014593507
25,-0.016039075
26,-0.021560282
27,0.014279603
28,-0.004182312
29,0.0023543986
30,-0.014743784
31,0.0022138322
32,0.0017058059
33,-0.0018006525
34,0.00076696515
35,-0.00035625132
36,-0.0065429825
37,-0.024398807
38,-0.018783234
39,-0.0008458089
40,-0.0026789918
41,0.00111731
42,-0.011495173
43,-0.024446601
44,-0.025126608
45,-0.00021261587
46,0.0010207078
47,-0.017184697
48,-0.01713496
49,-0.014510854
50,-0.03437588
51,0.0024497244
52,-0.006165507
53,-0.0008994987
54,-0.0273274
55,-0.01715169
56,-0.014116381
57,-0.010769439
58,-0.0071568103
59,-0.0005597767
60,-0.001991809
61,0.00044710125
62,-0.004825464
63,-0.000146552
64,-0.004047151
65,-0.037711274
66,0.005198231
67,-0.0077256984
68,0.00095407
69,0.0007780838
70,0.0007980424
71,0.003433166
72,0.008157078
73,-0.008278553
74,0.010217921
75,-0.016029105
76,-0.01486374
77,0.0006641351
78,-0.012948773
79,-0.020117378
80,-0.004303377
81,-0.009861402
82,0.0003091902
83,-0.008860464
84,0.0008601017
85,-0.001838749
86,-0.0018895158
87,-0.00048165937
88,0.00046185276
89,-0.0022205077
90,-0.00880325
91,-0.026570287
92,-0.007659151
93,0.0017840865
94,0.004949389
95,-0.0034150283
96,0.005821365
97,0.0035370712
98,0.0038232908
99,0.007876473
