,0
0,0.008898412
1,-0.021747733
2,-0.0035428556
3,-0.0041298964
4,0.0025564695
5,0.0013805501
6,-0.027234362
7,0.009128646
8,0.0010362762
9,0.0047275014
10,-0.023324512
11,-0.0062821354
12,-0.008421729
13,0.0027573882
14,-0.010548076
15,-0.0011975301
16,-0.014273604
17,-0.002090332
18,-0.00016537237
19,0.0042921323
20,-0.0052342373
21,-0.0013797407
22,-0.0019082424
23,-0.00023423234
24,-0.0076031713
25,-0.027120393
26,-0.003385746
27,0.0007037053
28,-0.014542854
29,-0.014256493
30,-0.017641637
31,0.0014602378
32,0.00014892711
33,-0.01073324
34,0.0024800005
35,0.0025238353
36,0.0017767875
37,0.0037081481
38,0.00081694295
39,-0.024822004
40,-0.015088439
41,-0.0020381683
42,-0.0029969804
43,-0.0024939014
44,-0.008308641
45,0.004020642
46,-0.019452648
47,-0.0050960593
48,-0.0025436138
49,-0.007169461
50,0.0047790804
51,-0.008179604
52,0.0067552165
53,-0.0033244612
54,0.0023487136
55,0.0021617627
56,-0.0049056173
57,-0.0032798522
58,-0.0048585474
59,-0.0057101343
60,-0.01582155
61,-0.0071709733
62,-0.006881951
63,-0.0005374617
64,0.008183619
65,-0.013786716
66,-0.018518485
67,-0.01706297
68,-0.014153675
69,-0.0073207715
70,0.0062794564
71,0.0029837596
72,-0.010904332
73,-0.0050887065
74,-0.0015642031
75,-0.005428016
76,-0.011948537
77,0.0043401876
78,0.0084011555
79,-0.0009372713
80,0.0043764976
81,-0.017138166
82,-0.01849987
83,0.004017786
84,-0.018526755
85,-0.019565212
86,-0.014537376
87,-0.0044821473
88,-0.0043705576
89,0.0019651614
90,0.00013272058
91,0.00011182569
92,-0.024351114
93,-0.004490186
94,-0.012149915
95,-0.0042642085
96,-0.006955888
97,0.0011874413
98,-0.0016098561
99,-0.012255643
100,-0.0074522537
101,0.00091582164
102,0.0009627069
103,0.0033697332
104,-0.0117227575
105,-0.006640765
106,-0.008053806
107,-0.0119265085
108,-0.015067095
109,0.0057336628
110,-0.0025167866
111,0.0004593875
112,0.00083332596
113,-0.007949746
114,0.0015707439
115,-0.00024816365
116,0.013345148
117,0.001229532
118,-0.0013314486
119,0.00023064746
120,-0.00698824
121,0.0044161654
122,0.0038011426
123,-0.010824846
124,-0.00207137
125,0.0008192965
126,-0.02993411
127,-0.009003149
128,-0.022694968
129,-0.010908687
130,0.000337265
131,-0.007298787
132,-0.0041327337
133,0.000816727
134,-0.0016847566
135,-0.019454934
136,-0.002968914
137,0.0033874393
138,0.0003912746
139,-0.012828297
140,-0.0023138167
141,0.0051880935
142,-0.016311655
143,-0.008674538
144,-0.004814139
145,-0.005371777
146,0.004969491
147,-0.030012483
148,-0.0019510947
149,-0.0070840064
