,0
0,-0.017418675
1,-0.0060420036
2,0.001911745
3,0.0051362156
4,-0.014144863
5,0.0050061783
6,0.005782286
7,-0.018736843
8,-0.000474491
9,-0.0064667733
10,-0.04314077
11,-0.027104529
12,0.005421957
13,-0.0060182954
14,0.014492381
15,0.014117491
16,-0.0050399685
17,-0.01647174
18,0.023900717
19,-0.018440763
20,-0.0011094318
21,-0.020422805
22,-0.0024410286
23,0.0028791623
24,0.023500774
25,-0.005426089
26,-0.0052187047
27,-0.00027085052
28,-0.03149013
29,-0.00722736
30,-0.0038545164
31,0.0048105805
32,-0.017432434
33,0.0004991044
34,-0.013316491
35,0.0008811827
36,-0.0023480805
37,0.0026753554
38,-0.035062302
39,-0.014059427
40,0.0058576576
41,-0.009487868
42,0.00079009257
43,-0.016305221
44,-0.0031039524
45,-0.038867336
46,-0.031379852
47,-0.009364741
48,0.0033177538
49,-0.010009724
50,-0.0010121318
51,-0.024279673
52,0.00045356972
53,0.0036926796
54,-0.00017391884
55,0.0007067927
56,0.006327609
57,-0.0037912074
58,0.00546296
59,-0.0014685863
60,0.0004418743
61,-0.004515344
62,-0.0141251
63,0.0060198256
64,-0.013774672
65,-0.026196491
66,0.0033060857
67,-0.011510413
68,-0.000831057
69,-0.022025254
70,-0.006283856
71,-0.012370825
72,-0.007390414
73,-0.00086271064
74,0.013952944
75,-0.0029677604
76,-0.013088867
77,-0.009012436
78,-0.00052626745
79,0.005773131
80,-0.0076640635
81,-0.0012188104
82,0.0018875843
83,-0.00841327
84,-0.018897116
85,0.0061094887
86,-0.017982839
87,0.0032405094
88,0.013227482
89,0.0036562113
90,-0.00925732
91,0.0027230794
92,-0.0009718961
93,0.0003308487
94,-0.0013166182
95,-0.017850293
96,-0.012406312
97,-0.012114374
98,-0.015155017
99,0.0024670786
100,-0.007919055
101,-0.008233967
102,-0.008876429
103,-0.0017748001
104,0.004168704
105,-0.010522463
106,0.011021977
107,-0.0008622951
108,0.0034704478
109,-0.012640675
110,-0.002754355
111,-0.00083958724
112,-0.028655678
113,-0.013773165
114,0.0073930467
115,-0.007420515
116,0.0032622889
117,-0.004064167
118,-0.0011763275
119,-0.015956467
120,0.00041937045
121,-0.0008297815
122,-0.007951927
123,-0.0048778276
124,-0.011095829
125,-0.01817436
126,0.011783165
127,0.0015072146
128,-0.00018320984
129,-0.0024658518
130,-0.012929444
131,-0.018254276
132,-0.005593199
133,0.008413446
134,-0.0048511974
135,2.83244e-05
136,-0.015184898
137,-0.008390476
138,-0.017499704
139,-0.019548262
140,-0.0058241137
141,0.003758378
142,0.0051927157
143,0.028506728
144,0.0022873671
145,-0.0012142884
146,-0.033302773
147,-0.017770093
148,-0.005990566
149,0.0047447975
150,0.0065501337
151,-0.0034741692
152,-0.0005687004
153,-0.0027006331
154,0.0031509944
155,0.003223542
156,-0.011235104
157,-0.001718752
158,-0.010765317
159,-0.012901395
160,-0.014494588
161,-0.017490769
162,-0.019719703
163,-0.02156583
164,0.014306128
165,-0.0014117546
166,-0.0009434892
167,-0.018046105
168,0.0047473125
169,-0.0023966793
170,0.003795454
171,0.0018960208
172,-0.0052159107
173,0.0019527887
174,-0.0033381423
175,-0.0072146077
176,-0.007011237
177,-0.0006157371
178,0.0037381577
179,-0.010377179
180,-0.0025153463
181,-0.004706929
182,0.00012554346
183,0.0036086577
184,-0.0048463945
185,-0.0054119485
186,-0.0088578565
187,0.0011843679
188,0.0016929464
189,-0.0065832203
190,-0.016822323
191,-0.02612791
192,-0.0028690891
193,-0.0007117735
194,0.0029635676
195,-0.022772577
196,-0.021774797
197,-0.013218884
198,0.00652644
199,-0.020559303
